,Stem Length
12285,1
13156,1
3029,1
7344,1
1466,1
12781,1
15373,1
7293,1
1671,1
2506,1
5173,1
16728,1
15902,1
12684,1
14087,1
10677,1
5499,1
5635,1
8753,1
4042,1
4618,1
4615,1
17035,1
2137,1
8483,1
15983,1
2250,1
8508,1
8981,1
11490,1
1296,1
12681,1
639,1
9618,1
4707,1
4245,1
10531,1
568,1
5524,1
16659,1
6375,1
2251,1
4683,1
7354,1
5123,1
10399,1
11415,1
5015,1
1535,1
2666,1
1989,1
6345,1
9838,1
1096,1
3298,1
1099,1
2445,1
14308,1
2741,1
7740,1
5604,1
2808,1
4880,1
8439,1
12208,1
14872,1
15660,1
10878,1
14388,1
9875,1
12304,1
16951,1
10077,1
14042,1
16606,1
15603,1
5755,1
6050,1
16261,1
15822,1
10097,1
7642,1
2844,1
4075,2
4168,2
16438,2
8084,2
15151,2
15150,2
6334,2
10553,2
7602,2
5541,2
16548,2
16371,2
7618,2
10515,2
6778,2
6776,2
4195,2
2768,2
8164,2
13009,2
13230,2
1419,2
6775,2
628,2
13003,2
13242,2
4020,2
16539,2
8086,2
15219,2
10812,2
2721,2
10665,2
6817,2
10651,2
13104,2
8132,2
1463,2
16499,2
10671,2
16419,2
16516,2
1438,2
2685,2
10579,2
13144,2
13063,2
8144,2
10801,2
6166,2
10680,2
13065,2
7118,2
16409,2
4058,2
13052,2
15245,2
15218,2
10728,2
4144,2
13068,2
10415,2
13260,2
2465,2
7507,2
10103,2
5488,2
10114,2
16851,2
16836,2
10146,2
13472,2
10168,2
1577,2
14994,2
10178,2
16816,2
5497,2
10198,2
10200,2
6743,2
5501,2
14964,2
13508,2
16876,2
10075,2
441,2
2413,2
14900,2
9976,2
2416,2
5940,2
2421,2
13568,2
16940,2
1569,2
1613,2
13554,2
14929,2
16921,2
9993,2
4486,2
2436,2
10026,2
13521,2
13518,2
16926,2
4218,2
10234,2
10263,2
8180,2
16665,2
16655,2
3954,2
4258,2
10420,2
10425,2
10437,2
16631,2
10438,2
10446,2
2598,2
2600,2
5904,2
4230,2
15087,2
13268,2
6773,2
15097,2
13306,2
8182,2
15067,2
10402,2
10288,2
534,2
4334,2
10300,2
10301,2
16752,2
13387,2
15034,2
1554,2
10248,2
547,2
16737,2
4306,2
13354,2
16730,2
8196,2
565,2
16702,2
10388,2
15694,2
548,2
15262,2
11069,2
10941,2
6941,2
11808,2
15553,2
11818,2
15937,2
3061,2
5731,2
15565,2
11875,2
6939,2
6958,2
3424,2
11903,2
15896,2
1039,2
15894,2
11920,2
11924,2
15884,2
11932,2
12511,2
