,Stem Length
10875,1
3255,1
2242,1
3817,1
11068,1
7179,1
3636,1
6915,1
10330,1
7579,1
4014,1
6383,1
4232,1
350,1
2737,1
2320,1
8076,1
5148,1
4207,1
1915,1
3352,1
9182,1
9204,1
11152,1
6714,1
1889,1
4889,1
1037,1
4887,1
2665,1
2240,1
8575,1
4568,1
2888,1
3096,1
3094,1
8041,1
3721,1
3728,1
1665,1
9702,1
3134,1
1450,1
3149,1
7064,1
7281,1
10792,1
6573,1
8050,1
850,1
3705,1
2053,1
10382,1
5976,1
10000,1
4499,1
3664,1
11014,1
1142,1
8264,1
10490,1
1136,1
1534,1
1719,1
4878,1
11037,1
1358,1
11119,1
10172,1
3905,1
5640,1
10583,1
10126,1
4843,1
1852,1
1817,1
983,1
708,1
6981,1
706,1
1533,1
9384,1
5593,1
1810,1
1375,1
1770,1
58,1
3406,1
6721,1
1255,2
5067,2
5627,2
3184,2
8509,2
3175,2
10229,2
5195,2
3496,2
9731,2
504,2
11247,2
1245,2
6723,2
2029,2
5628,2
8604,2
2022,2
6615,2
7849,2
4297,2
7835,2
7834,2
4308,2
10879,2
1896,2
4314,2
3482,2
5238,2
11109,2
6811,2
8735,2
2010,2
10265,2
1355,2
492,2
815,2
11046,2
11269,2
9703,2
7775,2
1881,2
4377,2
10858,2
2091,2
8817,2
11090,2
10023,2
3548,2
8452,2
10019,2
6547,2
6854,2
11267,2
3510,2
11055,2
9918,2
8482,2
7072,2
2479,2
3392,2
6812,2
8796,2
8445,2
5868,2
7243,2
1226,2
6780,2
6551,2
4347,2
427,2
10823,2
11222,2
4148,2
1329,2
8632,2
1930,2
7920,2
5731,2
11121,2
3371,2
1429,2
9826,2
7991,2
4395,2
1318,2
7899,2
5128,2
6727,2
1951,2
4210,2
9882,2
7145,2
5706,2
5560,2
3615,2
11160,2
1912,2
465,2
11156,2
1863,2
5716,2
9840,2
10239,2
6820,2
725,2
8628,2
5556,2
4093,2
8649,2
3294,2
1897,2
5544,2
8683,2
6749,2
6713,2
5192,2
1418,2
5111,2
7094,2
713,2
1284,2
5103,2
1989,2
8518,2
1990,2
1435,2
5180,2
8547,2
8673,2
6659,2
1954,2
10326,2
8418,2
10327,2
9943,2
