,Token Length
8642,1
3641,1
1761,1
1283,1
1847,1
12572,1
10082,1
4290,1
2428,1
8220,1
13679,1
2294,1
4609,1
1742,1
7080,1
6485,1
4916,1
10092,1
4224,1
1101,1
12746,1
13980,1
11763,1
2835,1
2832,1
13578,1
7990,1
2113,1
9130,1
6104,1
81,1
8996,1
5649,1
12796,1
6152,1
6161,1
4576,1
6165,1
2407,1
4803,1
2177,1
3394,1
5729,1
453,1
2282,1
4682,1
10132,1
10368,1
5307,1
14023,1
3984,1
13873,1
3959,1
11515,1
932,1
13323,1
934,1
10713,1
2245,1
3473,1
5045,1
3906,1
3904,1
9501,1
7491,1
13916,1
13068,1
2940,1
4690,1
2351,1
13192,1
8844,1
1480,1
13848,1
4113,1
12190,1
7023,1
4667,1
1363,1
13002,1
8391,1
2604,1
1488,1
11478,1
5339,1
1955,1
1956,1
8739,1
8381,1
1695,2
11825,2
2526,2
4757,2
11642,2
11643,2
5043,2
1590,2
5039,2
11678,2
552,2
1609,2
7869,2
4976,2
13545,2
10101,2
7910,2
4908,2
14118,2
1656,2
4719,2
7949,2
4857,2
4790,2
7979,2
1693,2
4704,2
1803,2
4699,2
12127,2
9889,2
8319,2
9869,2
4161,2
1910,2
12162,2
4128,2
12191,2
8394,2
8403,2
12230,2
4024,2
1965,2
14238,2
8426,2
4015,2
1968,2
9830,2
1990,2
8465,2
9816,2
9815,2
3902,2
2011,2
1887,2
8030,2
4246,2
1880,2
14151,2
10020,2
11877,2
1740,2
11901,2
11938,2
4537,2
11964,2
13456,2
4456,2
4418,2
1818,2
8192,2
8194,2
423,2
1823,2
4393,2
12029,2
4379,2
14186,2
14195,2
9923,2
8264,2
12101,2
4270,2
8305,2
11620,2
5414,2
7802,2
6533,2
13942,2
10845,2
6523,2
861,2
1078,2
7066,2
7067,2
6463,2
10543,2
6445,2
6431,2
1111,2
6382,2
1125,2
823,2
7159,2
7180,2
13970,2
10983,2
7202,2
11011,2
13983,2
6199,2
6188,2
11024,2
11036,2
10569,2
6535,2
1063,2
6540,2
952,2
10684,2
13897,2
6846,2
6795,2
939,2
6857,2
13884,2
6758,2
10651,2
6701,2
10644,2
10746,2
7245,2
6675,2
10767,2
6650,2
6647,2
10773,2
6965,2
10797,2
10605,2
6979,2
6984,2
6593,2
10829,2
10576,2
876,2
6671,2
6105,2
11063,2
13762,2
5594,2
652,2
11374,2
7592,2
5515,2
5498,2
7618,2
11411,2
634,2
5465,2
7633,2
5431,2
5424,2
1408,2
7662,2
7669,2
7682,2
7698,2
13617,2
606,2
7728,2
7729,2
5314,2
7761,2
5207,2
1536,2
11574,2
11575,2
8506,2
5154,2
13659,2
1388,2
6070,2
13756,2
6061,2
13751,2
2527,2
1278,2
7350,2
5952,2
10394,2
5951,2
10383,2
7399,2
5908,2
11306,2
5905,2
7426,2
7427,2
10369,2
14029,2
11219,2
14033,2
10340,2
