,Sentence Length
185,1
855,2
265,3
468,4
1013,4
739,4
736,4
910,4
1166,6
1284,7
65,9
1038,11
1132,12
770,12
847,13
162,14
650,15
682,15
78,15
1263,16
1053,16
62,16
654,16
662,17
704,18
147,19
1115,19
64,19
764,19
418,19
345,20
48,20
582,20
110,20
664,21
788,21
434,21
792,22
72,22
466,22
732,22
601,24
1336,24
1310,24
1262,25
13,25
621,25
1066,26
453,26
9,26
647,26
1069,26
876,27
365,27
846,27
1314,28
1269,28
1127,29
371,29
535,29
546,30
900,30
572,30
1039,30
497,30
256,30
1243,30
1136,31
196,31
686,31
459,31
1206,31
519,31
1010,32
628,32
438,32
1245,33
1150,33
671,33
1346,33
268,33
1134,33
967,33
502,33
614,33
1315,33
1024,33
190,34
872,34
651,34
1247,34
518,35
404,35
364,35
509,36
832,36
913,36
826,36
217,37
889,37
867,37
776,37
782,37
798,37
1207,37
426,37
930,38
1101,38
963,38
1223,38
747,38
484,38
675,39
755,39
942,39
1135,39
320,39
708,40
918,40
1287,40
294,40
857,40
795,40
1037,41
165,41
1157,41
858,41
1131,41
500,41
622,41
814,42
127,42
329,42
298,42
215,42
471,43
877,43
1074,43
1318,44
250,44
938,44
1194,44
784,44
1011,44
475,44
159,44
804,44
545,45
295,45
249,45
373,45
241,45
191,45
1311,46
223,46
478,46
99,47
104,47
1094,47
348,47
1325,47
871,47
525,47
750,47
945,47
702,48
1169,48
206,48
1272,48
1306,48
461,48
1229,49
818,49
36,49
1015,49
853,49
925,49
129,49
593,49
926,49
585,50
901,50
949,50
1143,50
325,50
411,50
884,50
441,50
919,51
680,51
1091,51
609,52
1041,52
117,52
1054,52
1329,52
1203,52
951,52
661,52
1260,52
376,52
454,53
499,53
1338,53
618,53
748,53
1095,53
944,54
377,54
1277,54
964,54
723,54
1220,55
496,55
589,55
737,55
679,55
552,55
822,55
1084,55
906,55
947,55
1188,55
90,56
595,56
340,56
312,56
363,56
279,56
512,56
706,56
1030,56
405,56
409,56
1106,56
1217,56
544,57
789,57
327,57
34,57
540,57
157,57
341,57
192,57
262,58
1333,58
955,58
396,58
629,58
547,58
1213,58
1064,58
969,58
224,58
506,59
1022,59
840,59
710,59
257,59
88,59
266,59
1043,59
464,59
631,59
1226,59
1293,60
715,60
424,60
821,60
836,60
15,60
791,60
73,60
219,60
1000,60
183,60
1142,60
1345,61
151,61
1182,61
457,61
105,61
563,62
1183,62
460,62
727,62
401,62
1244,62
306,62
891,62
883,63
1186,63
1278,63
849,63
863,63
382,63
393,63
1215,63
1251,64
837,64
878,64
423,64
698,64
1097,64
1227,64
79,64
1103,64
691,64
436,65
933,65
342,66
771,66
108,66
934,66
775,66
1323,66
85,66
570,66
3,67
207,67
1209,67
1328,67
730,67
137,68
1083,68
1158,68
46,68
1009,68
1268,68
658,68
82,68
1241,68
391,68
1273,68
649,69
356,69
1090,69
961,69
584,69
566,69
689,69
412,69
1149,70
1120,70
1175,70
561,70
1164,70
688,70
608,71
1259,71
1028,71
558,71
1130,71
1085,71
882,71
571,71
1162,72
729,72
1202,72
1133,72
1274,72
167,72
4,72
1240,72
1168,72
132,72
1340,72
52,73
1254,73
529,73
1118,73
428,73
218,73
1114,74
1327,74
443,74
416,74
907,74
37,74
260,74
1082,74
449,75
452,75
1190,75
288,75
1100,75
313,75
683,76
799,76
407,76
1145,76
958,76
447,76
777,76
487,76
681,76
550,76
177,76
331,77
1193,77
587,77
144,77
676,77
1343,77
1092,77
1300,77
1110,77
1321,78
701,78
386,78
603,78
413,78
1253,78
1316,78
634,78
55,78
1319,78
1322,78
305,78
258,79
819,79
616,79
379,79
892,79
639,79
281,79
952,79
338,80
429,80
957,80
817,80
579,80
465,80
879,81
1029,81
1196,81
887,81
227,81
124,81
337,81
282,81
291,81
139,81
823,81
968,81
1078,82
1308,82
999,82
865,82
915,82
565,82
182,83
121,83
1098,83
28,83
1184,83
866,83
114,83
125,83
696,83
610,84
92,84
888,84
660,84
761,84
712,84
573,84
328,85
979,85
311,85
524,85
1199,85
1160,85
1297,86
642,86
599,86
70,86
148,86
655,86
1231,86
40,86
1112,87
932,87
1002,87
808,88
350,88
713,88
202,88
1025,88
51,88
425,89
458,89
228,89
1121,89
874,89
59,89
119,89
992,89
181,89
292,89
1045,89
1156,89
1191,89
388,89
577,90
543,90
1050,90
1051,90
800,91
994,91
1291,91
444,91
1214,91
617,91
187,91
1033,92
479,92
1267,92
667,92
67,92
860,92
94,93
531,93
31,93
138,93
163,93
501,93
697,93
214,93
1032,93
1052,93
912,93
602,94
304,94
1211,94
959,94
172,94
1348,94
1179,95
769,95
590,95
1294,95
668,95
1205,95
674,95
511,95
522,95
315,96
58,96
489,96
1276,96
244,96
916,96
1058,96
2,96
899,97
731,97
326,97
741,97
703,97
381,97
526,98
1326,98
188,98
890,98
43,98
939,98
225,98
537,98
588,99
1335,99
1155,99
850,100
505,100
111,100
83,100
392,100
619,100
50,100
44,100
96,100
222,100
1108,100
1303,100
255,101
523,101
450,101
990,101
1144,101
851,101
155,101
435,101
480,102
886,102
554,102
212,102
29,102
102,102
611,102
303,102
42,102
904,103
247,103
835,103
1312,103
988,103
966,103
230,104
126,104
885,104
1252,104
1320,104
1036,104
158,104
242,105
656,105
881,105
1057,106
433,106
179,106
169,106
488,107
1146,108
742,108
716,108
1077,109
178,109
473,109
486,110
657,110
1307,110
869,110
334,111
1210,111
205,111
200,111
24,112
184,112
1219,112
22,112
1034,113
848,113
591,113
7,113
45,113
659,113
607,114
1167,114
284,114
576,114
259,115
432,115
807,115
199,115
103,115
1296,116
1031,116
532,116
1119,116
485,116
1147,116
1192,116
993,116
612,116
251,117
204,117
1204,117
1281,117
362,117
321,117
827,118
135,118
754,118
1151,118
627,118
76,118
841,118
402,118
35,118
390,118
20,119
1286,119
640,119
880,119
763,120
417,120
687,120
1021,120
431,120
940,120
95,120
118,121
387,121
652,121
81,121
1061,121
11,121
21,122
921,122
985,122
1020,122
1104,122
1018,122
1124,122
1087,122
66,123
41,123
134,123
1049,123
728,123
738,123
1126,124
528,124
575,124
122,124
476,125
252,125
756,125
193,125
415,125
1198,125
369,125
722,126
1330,126
551,126
953,126
626,126
1304,127
1080,127
446,127
785,128
895,128
870,129
980,129
1225,129
427,129
203,129
245,129
978,129
173,129
1088,129
1073,130
63,130
813,130
960,130
0,131
300,131
564,131
1256,131
239,131
375,131
962,131
322,132
606,132
937,132
632,132
213,132
229,133
567,133
398,134
154,134
27,135
359,135
1280,135
274,135
414,135
983,135
1176,135
1111,135
690,135
856,136
314,136
346,136
975,136
541,136
422,136
68,137
289,137
1,138
54,138
109,138
694,138
1055,139
670,139
430,139
49,140
637,141
685,141
766,141
1141,141
270,142
175,142
1239,142
189,142
1342,143
721,143
1007,143
220,143
533,143
437,144
1172,144
234,145
719,145
146,145
508,145
1070,145
1288,145
948,146
8,146
1165,146
765,146
862,147
970,147
1289,147
684,147
113,147
1005,147
297,147
156,147
1298,148
1324,148
1292,148
87,148
143,148
161,148
557,149
553,149
17,149
700,149
445,149
12,150
351,151
60,151
1337,151
1341,151
630,151
1001,152
749,152
1139,152
923,152
243,152
875,152
14,152
1344,153
353,153
440,153
811,154
902,154
998,155
513,155
210,155
711,156
451,156
709,156
831,156
421,157
744,157
397,157
717,157
806,157
280,158
943,158
973,158
559,158
368,158
112,159
160,159
714,159
1195,160
527,160
1035,160
448,160
115,160
1109,160
1171,161
406,162
815,162
1093,162
343,162
530,162
1065,162
1299,162
469,163
941,163
1301,163
672,164
534,164
140,164
1096,164
275,164
287,165
1173,166
909,167
145,167
1236,167
330,168
5,168
269,168
198,168
56,168
693,168
47,168
517,169
474,172
1161,172
482,173
264,174
419,174
339,174
1170,174
97,175
1026,175
86,176
89,176
1152,177
753,177
1102,177
786,178
38,178
153,180
237,180
383,180
873,180
1282,180
384,180
1063,180
1059,181
1067,181
842,182
898,183
318,183
366,183
896,183
604,183
355,183
772,184
1238,184
692,184
1261,184
1046,186
141,187
1200,187
1257,188
221,188
695,189
1334,190
549,190
1285,190
248,190
309,190
136,191
633,191
6,192
492,192
1086,193
272,193
1123,194
349,194
924,194
636,195
481,195
302,196
644,196
410,196
1212,198
149,199
120,199
556,201
194,201
1006,201
663,202
493,203
613,204
261,204
521,204
504,205
211,205
1117,205
1178,206
1302,207
781,207
986,209
638,209
767,210
98,210
374,211
1234,211
931,212
605,212
336,213
1230,214
996,214
442,214
803,214
1233,215
778,215
455,216
1250,216
201,217
920,217
673,218
1128,218
1071,218
516,218
598,219
773,219
914,219
352,219
462,221
32,221
208,222
171,222
1232,223
1048,224
707,224
106,225
989,225
1122,227
911,227
796,228
734,229
93,230
1189,230
1140,231
1187,231
286,233
844,234
705,235
987,235
740,236
477,237
718,237
166,237
1309,238
751,239
759,240
333,240
354,240
927,241
361,241
824,241
623,242
1099,243
615,243
1235,243
812,245
597,245
760,246
1290,249
864,250
801,250
1347,250
53,250
787,251
335,252
645,252
536,253
1242,253
568,253
922,253
1017,253
61,254
539,254
1237,254
91,255
569,256
1042,256
894,257
240,260
982,260
74,262
271,263
946,263
483,264
1075,265
307,265
905,266
794,267
319,267
57,269
797,269
232,270
1003,271
917,272
197,275
367,276
699,277
538,278
1138,280
596,281
578,281
783,282
1019,283
1056,283
752,285
1265,285
620,286
283,286
1116,288
809,288
403,294
520,294
1248,294
168,294
641,294
790,295
825,297
324,297
976,297
494,298
216,298
997,299
935,301
235,302
1012,302
897,303
653,303
1125,303
720,305
542,307
560,308
1197,308
107,309
1313,309
1208,310
929,312
995,312
150,312
378,314
128,315
735,318
936,318
974,320
263,321
745,321
16,322
1246,322
780,323
954,323
372,324
176,324
774,326
743,326
380,327
586,330
665,330
1174,334
1047,336
834,337
1201,339
1014,344
1224,344
1218,345
1148,353
893,354
25,355
317,356
724,356
1258,357
1153,357
725,358
323,359
344,360
1062,360
854,363
635,363
39,364
71,364
583,373
1279,375
646,376
358,379
1129,379
1339,381
852,381
981,382
116,384
1023,387
26,387
293,389
600,391
977,393
467,394
253,399
928,399
1255,400
625,402
574,408
133,409
495,409
746,412
1275,412
859,413
648,414
838,416
1317,420
1089,420
273,421
23,424
439,424
1295,425
170,426
991,430
666,430
1027,431
195,433
1177,435
1266,436
389,439
1271,441
400,443
254,443
470,444
733,445
1185,447
503,451
839,451
908,452
624,453
84,457
420,460
514,462
802,464
18,465
310,465
1072,469
1222,470
1249,479
1154,480
1283,488
75,489
677,492
101,499
1008,499
1107,509
498,511
592,512
768,512
277,516
276,523
805,524
209,526
267,527
1060,528
370,530
395,535
669,539
984,541
515,541
816,543
236,553
180,558
399,564
131,568
152,571
226,572
1081,577
903,587
1079,588
308,595
726,602
828,610
1113,610
285,616
507,624
33,637
80,637
779,639
1068,640
299,642
456,647
830,652
301,652
296,662
100,681
231,685
1331,688
238,689
233,700
385,707
820,712
758,712
581,721
810,721
394,725
1221,729
972,730
833,734
793,742
77,750
1180,764
30,766
965,768
463,771
845,776
562,792
1004,821
19,828
186,829
174,844
1228,853
643,853
1305,866
971,868
843,874
130,888
1044,910
357,918
829,918
580,920
555,930
490,935
1040,937
1159,950
956,954
123,961
246,988
678,994
1076,1007
316,1008
548,1017
332,1018
164,1030
1216,1050
1105,1070
472,1096
408,1104
347,1104
1270,1109
1181,1112
491,1118
1163,1139
594,1142
950,1144
1137,1152
757,1154
510,1157
762,1241
69,1347
1332,1407
290,1457
10,1461
360,1489
868,2012
278,2240
1264,2334
861,3530
142,3839
1016,4248
