,Stem Length
1994,1
2111,1
3153,1
2088,1
1152,1
2824,1
3928,1
647,1
535,1
1420,1
2484,1
1971,1
838,1
240,1
1079,1
2839,1
44,1
2001,1
2118,1
1349,1
2375,1
3199,1
1246,1
783,1
3191,1
2761,1
1281,1
1282,1
275,1
2646,1
3268,1
2218,1
2213,1
3846,1
2343,1
3282,1
3616,1
2163,1
171,1
1889,1
1233,1
441,1
2553,1
3505,1
2613,1
252,1
1654,1
1016,1
4007,1
3431,1
3778,1
823,1
2541,1
1034,1
1066,1
1053,1
1017,1
3100,1
1018,1
2573,1
1547,1
3062,1
174,1
720,2
139,2
3525,2
1184,2
2741,2
1177,2
941,2
2512,2
3189,2
2599,2
2695,2
3160,2
199,2
679,2
3774,2
3645,2
2625,2
3642,2
2312,2
2310,2
683,2
2308,2
291,2
315,2
145,2
3659,2
2529,2
3762,2
2508,2
168,2
3816,2
3819,2
164,2
663,2
3107,2
3115,2
1231,2
1103,2
652,2
2447,2
2574,2
2436,2
155,2
3121,2
2546,2
3796,2
2415,2
295,2
3127,2
2411,2
281,2
3139,2
706,2
3041,2
1160,2
3085,2
2700,2
3644,2
2762,2
3004,2
2852,2
1811,2
3577,2
452,2
1549,2
1542,2
1540,2
3561,2
826,2
3403,2
827,2
46,2
472,2
2950,2
3015,2
488,2
3414,2
505,2
1804,2
4014,2
3521,2
1682,2
3519,2
802,2
3718,2
4034,2
1703,2
1790,2
251,2
4027,2
3472,2
1750,2
3440,2
444,2
23,2
1772,2
13,2
2830,2
3965,2
842,2
2960,2
3613,2
2174,2
884,2
3623,2
1303,2
2221,2
3257,2
3254,2
2250,2
2254,2
2255,2
1254,2
324,2
276,2
881,2
2136,2
1335,2
2666,2
3932,2
2012,2
82,2
2046,2
1433,2
3925,2
2004,2
1434,2
745,2
524,2
1386,2
3316,2
2984,2
1436,2
3937,2
2952,3
777,3
3058,3
740,3
2979,3
3000,3
767,3
2949,3
2998,3
2985,3
3047,3
2939,3
0,3
3076,3
3335,3
3336,3
508,3
3351,3
3359,3
3371,3
479,3
3400,3
3401,3
3327,3
455,3
3439,3
437,3
425,3
3480,3
3484,3
404,3
403,3
400,3
396,3
451,3
3325,3
3319,3
3315,3
3078,3
3081,3
670,3
3099,3
3101,3
641,3
3151,3
3175,3
3177,3
3210,3
3242,3
573,3
3259,3
3261,3
3264,3
551,3
549,3
3300,3
536,3
3312,3
528,3
682,3
2908,3
2589,3
796,3
1968,3
1460,3
1457,3
1985,3
2017,3
2036,3
1402,3
2058,3
2067,3
1370,3
1365,3
2102,3
2112,3
1464,3
1344,3
2161,3
1329,3
1321,3
2182,3
2194,3
1306,3
2219,3
1293,3
2231,3
1276,3
2244,3
2246,3
1244,3
2146,3
