,Token Length
2334,1
1275,1
1258,1
283,1
1244,1
1221,1
1674,1
1198,1
3615,1
1197,1
1196,1
2480,1
3660,1
2360,1
3728,1
3773,1
3787,1
3876,1
3893,1
976,1
948,1
2239,1
911,1
2375,1
4094,1
3349,1
3334,1
294,1
207,1
1514,1
1513,1
2778,1
1473,1
2823,1
2629,1
2624,1
1457,1
2501,1
2931,1
3008,1
3036,1
2561,1
3085,1
3124,1
1362,1
1596,1
3262,1
316,1
2503,1
2989,1
4180,1
204,1
4689,1
4324,1
750,1
1826,1
610,1
500,1
4517,1
4601,1
48,1
4789,1
1955,1
3263,2
4568,2
3187,2
3195,2
514,2
3146,2
1994,2
1373,2
3097,2
3237,2
2525,2
1820,2
4536,2
4686,2
3340,2
1298,2
25,2
3370,2
540,2
4511,2
556,2
326,2
574,2
4497,2
2432,2
3487,2
4565,2
319,2
1397,2
2578,2
2673,2
2674,2
293,2
4825,2
1534,2
4823,2
2735,2
195,2
2740,2
4798,2
2633,2
1485,2
186,2
2857,2
2863,2
2880,2
2891,2
51,2
3037,2
14,2
1404,2
169,2
4695,2
3069,2
4701,2
2956,2
1579,2
176,2
2953,2
505,2
4736,2
2978,2
3526,2
3500,2
199,2
1694,2
3857,2
92,2
3861,2
1698,2
368,2
4204,2
4333,2
1021,2
4195,2
4259,2
3938,2
980,2
4321,2
829,2
955,2
952,2
752,2
930,2
761,2
361,2
2112,2
4060,2
2144,2
4074,2
4138,2
1821,2
4353,2
862,2
3771,2
1098,2
598,2
3553,2
3568,2
3593,2
2388,2
4434,2
2020,2
336,2
1830,2
4240,2
3645,2
338,2
2379,2
233,2
2072,2
3665,2
3681,2
784,2
2094,2
3689,2
3697,2
1693,2
3714,2
788,2
816,2
4354,2
3740,2
4368,2
4100,2
1861,3
1834,3
1854,3
1810,3
1770,3
1589,3
1738,3
1737,3
1666,3
1726,3
1574,3
1610,3
1852,3
1614,3
1651,3
1859,3
1731,3
1232,3
1538,3
1040,3
1030,3
1028,3
1000,3
981,3
965,3
923,3
905,3
894,3
859,3
787,3
