,review_id,noun,noun_base,adj,adj_base
0,0,flavor,flavor,wonderful,wonderful
1,1,sauce,sauce,spicy,spicy
2,1,dumplings,dumpling,frozen,frozen
3,2,prices,price,lower,low
4,3,noodles,noodle,best,good
5,3,food,food,spicy,spicy
6,3,sauce,sauce,spicy,spicy
7,3,sauce,sauce,little,little
8,4,challenge,challenge,real,real
9,4,supermarket,supermarket,asian,asian
10,4,pack,pack,single,single
11,4,pack,pack,large,large
12,4,flavors,flavor,different,different
13,5,flavor,flavor,much,much
14,5,noodles,noodle,regular,regular
15,5,market,market,local,local
16,6,tolerance,tolerance,high,high
17,7,seaweed,seaweed,added,add
18,7,challenge,challenge,spicy,spicy
19,8,noodles,noodle,perfect,perfect
20,8,amount,amount,efficient,efficient
21,8,sauce,sauce,red,red
22,8,side,side,sunny,sunny
23,8,egg,egg,side,side
24,8,style,style,julian,julian
25,8,meal,meal,complete,complete
26,8,bite,bite,quick,quick
27,8,spice,spice,much,much
28,8,bag,bag,whole,whole
29,9,seaweed,seaweed,added,add
30,9,challenge,challenge,spicy,spicy
31,10,problem,problem,biggest,big
32,11,SAUCE,sauce,LITTLE,little
33,11,spice,spice,much,much
34,12,food,food,spicy,spicy
35,13,ramen,raman,Spicy,spicy
36,13,food,food,spicy,spicy
37,13,version,version,spicy,spicy
38,14,sensation,sensation,burning,burn
39,14,sweetness,sweetness,light,light
40,14,ramens,ramen,many,many
41,14,noodles,noodle,shin,shin
42,14,chew,chew,nice,nice
43,15,ramen,raman,spiciest,spiciest
44,15,challenges,challenge,many,many
45,15,items,item,spicy,spicy
46,15,person,person,average,average
47,15,items,item,spicy,spicy
48,16,food,food,spicy,spicy
49,17,noodles,noodle,spiciest,spicy
50,17,bowl,bowl,whole,whole
51,17,flavor,flavor,good,good
52,17,spicy,spicy,crazy,crazy
53,18,challenge,challenge,spicy,spicy
54,19,sensation,sensation,amazing,amazing
55,19,spice,spice,hot,hot
56,19,chicken,chicken,creamy,creamy
57,19,place,place,only,only
58,19,ingredients,ingredient,unhealthy,unhealthy
59,20,noodles,noodle,dry,dry
60,20,snack,snack,alright,alright
61,21,noodles,noodle,spiciest,spicy
62,21,bowl,bowl,whole,whole
63,21,flavor,flavor,good,good
64,21,spicy,spicy,crazy,crazy
65,22,fan,fan,big,big
66,23,noodles,noodle,spiciest,spicy
67,23,level,level,next,next
68,23,seasoning,seasoning,whole,whole
69,23,food,food,spicy,spicy
70,23,time,time,same,same
71,24,noodle,noodle,instant,instant
72,25,noodles,noodle,other,other
73,25,flavor,flavor,little,little
74,26,ramen,raman,spicy,spicy
75,27,chicken,chicken,spicy,spicy
76,28,feeling,feeling,weird,weird
77,29,hopes,hope,high,high
