,review_id,noun,noun_base,adj,adj_base
0,0,flavor,flavor,wonderful,wonderful
1,1,sauce,sauce,spicy,spicy
2,1,dumplings,dumpling,frozen,frozen
3,2,prices,price,lower,low
4,3,noodles,noodle,best,good
5,3,food,food,spicy,spicy
6,3,sauce,sauce,spicy,spicy
7,3,flakes,flake,nori,nori
8,3,sauce,sauce,little,little
9,3,sauce,sauce,less,less
10,4,challenge,challenge,real,real
11,4,supermarket,supermarket,asian,asian
12,4,pack,pack,single,single
13,4,pack,pack,large,large
14,4,flavors,flavor,different,different
15,4,flavors,flavor,such,such
16,4,carbonara,carbonara,more,more
17,5,flavor,flavor,much,much
18,5,noodles,noodle,regular,regular
19,5,market,market,local,local
20,5,market,market,Asian,asian
21,6,foods,food,spicy,spicy
22,6,tolerance,tolerance,high,high
23,7,ramens,ramen,hot,hot
24,8,noodles,noodle,perfect,perfect
25,8,amount,amount,efficient,efficient
26,8,soup,soup,noodle,noodle
27,8,sauce,sauce,red,red
28,8,side,side,sunny,sunny
29,8,style,style,julian,julian
30,8,meal,meal,complete,complete
31,8,bite,bite,quick,quick
32,8,spice,spice,much,much
33,8,bag,bag,whole,whole
34,8,sauce,sauce,red,red
35,9,ramens,ramen,hot,hot
36,10,problem,problem,biggest,big
37,11,SAUCE,sauce,LITTLE,little
38,11,spice,spice,much,much
39,12,food,food,spicy,spicy
40,13,ramen,raman,Spicy,spicy
41,13,food,food,spicy,spicy
42,13,version,version,super,super
43,13,version,version,spicy,spicy
44,14,sweetness,sweetness,light,light
45,14,ramens,ramen,many,many
46,14,ramens,ramen,other,other
47,14,chew,chew,nice,nice
48,15,challenges,challenge,many,many
49,15,ramen,raman,spiciest,spiciest
50,15,items,item,spicy,spicy
51,15,person,person,average,average
52,15,items,item,spicy,spicy
53,16,food,food,spicy,spicy
54,17,noodles,noodle,spiciest,spicy
55,17,bowl,bowl,whole,whole
56,17,flavor,flavor,good,good
57,17,spicy,spicy,crazy,crazy
58,18,challenge,challenge,spicy,spicy
59,18,challenge,challenge,noodle,noodle
60,19,sensation,sensation,amazing,amazing
61,19,spice,spice,hot,hot
62,19,chicken,chicken,creamy,creamy
63,19,chicken,chicken,hot,hot
64,19,place,place,only,only
65,19,ingredients,ingredient,unhealthy,unhealthy
66,20,noodles,noodle,dry,dry
67,20,snack,snack,alright,alright
68,21,noodles,noodle,spiciest,spicy
69,21,bowl,bowl,whole,whole
70,21,flavor,flavor,good,good
71,21,spicy,spicy,crazy,crazy
72,22,fan,fan,big,big
73,23,noodles,noodle,spiciest,spicy
74,23,level,level,next,next
75,23,seasoning,seasoning,whole,whole
76,23,food,food,spicy,spicy
77,23,time,time,same,same
78,24,noodle,noodle,instant,instant
79,25,noodles,noodle,other,other
80,25,flavor,flavor,little,little
81,26,ramen,raman,super,super
82,26,ramen,raman,spicy,spicy
83,27,chicken,chicken,spicy,spicy
84,27,alot,alot,noodle,noodle
85,28,feeling,feeling,weird,weird
86,29,hopes,hope,high,high
