,review_id,noun,noun_base,adj,adj_base
0,0,flavor,flavor,wonderful,wonderful
1,1,sauce,sauce,spicy,spicy
2,1,dumplings,dumpling,frozen,frozen
3,2,prices,price,lower,low
4,2,levels,level,lower,low
5,3,noodles,noodle,best,good
6,3,hands,hand,best,good
7,3,food,food,spicy,spicy
8,3,sauce,sauce,spicy,spicy
9,3,packet,packet,spicy,spicy
10,3,flakes,flake,nori,nori
11,3,sauce,sauce,little,little
12,3,sauce,sauce,less,less
13,4,challenge,challenge,real,real
14,4,supermarket,supermarket,asian,asian
15,4,pack,pack,single,single
16,4,pack,pack,large,large
17,4,bowl,bowl,large,large
18,4,pack,pack,large,large
19,4,flavors,flavor,different,different
20,4,flavors,flavor,such,such
21,4,carbonara,carbonara,more,more
22,4,chicken,chicken,more,more
23,4,flavors,flavor,more,more
24,5,flavor,flavor,much,much
25,5,noodles,noodle,regular,regular
26,5,market,market,local,local
27,5,market,market,Asian,asian
28,6,foods,food,spicy,spicy
29,6,tolerance,tolerance,high,high
30,7,ramens,ramen,hot,hot
31,7,keys,key,hot,hot
32,8,noodles,noodle,perfect,perfect
33,8,amount,amount,efficient,efficient
34,8,soup,soup,noodle,noodle
35,8,people,people,noodle,noodle
36,8,sauce,sauce,red,red
37,8,side,side,sunny,sunny
38,8,egg,egg,sunny,sunny
39,8,style,style,julian,julian
40,8,meal,meal,complete,complete
41,8,bite,bite,quick,quick
42,8,meal,meal,quick,quick
43,8,spice,spice,much,much
44,8,bag,bag,whole,whole
45,8,sauce,sauce,red,red
46,8,bag,bag,red,red
47,9,ramens,ramen,hot,hot
48,9,keys,key,hot,hot
49,10,problem,problem,biggest,big
50,11,SAUCE,sauce,LITTLE,little
51,11,spice,spice,much,much
52,12,food,food,spicy,spicy
53,13,ramen,raman,Spicy,spicy
54,13,food,food,spicy,spicy
55,13,version,version,super,super
56,13,version,version,spicy,spicy
57,14,sweetness,sweetness,light,light
58,14,ramens,ramen,many,many
59,14,ramens,ramen,other,other
60,14,chew,chew,nice,nice
61,15,challenges,challenge,many,many
62,15,ramen,raman,spiciest,spiciest
63,15,challenges,challenge,spiciest,spiciest
64,15,items,item,spicy,spicy
65,15,person,person,average,average
66,15,items,item,spicy,spicy
67,16,food,food,spicy,spicy
68,17,noodles,noodle,spiciest,spicy
69,17,bowl,bowl,whole,whole
70,17,flavor,flavor,good,good
71,17,spicy,spicy,crazy,crazy
72,17,flavor,flavor,crazy,crazy
73,18,challenge,challenge,spicy,spicy
74,18,challenge,challenge,noodle,noodle
75,19,sensation,sensation,amazing,amazing
76,19,place,place,amazing,amazing
77,19,spice,spice,hot,hot
78,19,sensation,sensation,hot,hot
79,19,place,place,hot,hot
80,19,chicken,chicken,creamy,creamy
81,19,spice,spice,creamy,creamy
82,19,sensation,sensation,creamy,creamy
83,19,place,place,creamy,creamy
84,19,chicken,chicken,hot,hot
85,19,spice,spice,hot,hot
86,19,sensation,sensation,hot,hot
87,19,place,place,hot,hot
88,19,place,place,only,only
89,19,ingredients,ingredient,unhealthy,unhealthy
90,20,noodles,noodle,dry,dry
91,20,Tastes,taste,dry,dry
92,20,snack,snack,alright,alright
93,21,noodles,noodle,spiciest,spicy
94,21,bowl,bowl,whole,whole
95,21,flavor,flavor,good,good
96,21,spicy,spicy,crazy,crazy
97,21,flavor,flavor,crazy,crazy
98,22,fan,fan,big,big
99,23,noodles,noodle,spiciest,spicy
100,23,level,level,next,next
101,23,seasoning,seasoning,whole,whole
102,23,food,food,spicy,spicy
103,23,time,time,same,same
104,24,noodle,noodle,instant,instant
105,25,noodles,noodle,other,other
106,25,flavor,flavor,little,little
107,26,ramen,raman,super,super
108,26,ramen,raman,spicy,spicy
109,27,chicken,chicken,spicy,spicy
110,27,alot,alot,spicy,spicy
111,27,alot,alot,noodle,noodle
112,28,feeling,feeling,weird,weird
113,29,hopes,hope,high,high
